Symbol,Date,Open,High,Low,Close,Adj Close,Volume
META,2/7/23,185.580002,193.7799988,184.3999939,191.6199951,191.6199951,47080700
META,2/8/23,190,190.8300018,182.9199982,183.4299927,183.4299927,36139100
META,2/9/23,186.130005,186.6499939,177.2700043,177.9199982,177.9199982,37118800
META,2/10/23,176.350006,178.8899994,173.3500061,174.1499939,174.1499939,33413200
META,2/13/23,178.220001,181,175.8200073,179.4299927,179.4299927,31463200
META,2/14/23,177.160004,181.5099945,175.8800049,179.4799957,179.4799957,24034600
META,2/15/23,176.419998,178.1900024,175.3300018,177.1600037,177.1600037,25338000
META,2/16/23,172.75,175.8500061,171.7899933,172.4400024,172.4400024,25827500
META,2/17/23,170.220001,173.1799927,169.6999969,172.8800049,172.8800049,22191900
META,2/21/23,174.309998,178.1699982,171.8800049,172.0800018,172.0800018,34592600
META,2/22/23,171.070007,172.7599945,169.6900024,171.1199951,171.1199951,22433200
META,2/23/23,172,173.6900024,169.3800049,172.0399933,172.0399933,20017800
META,2/24/23,168.639999,170.7200012,167.6600037,170.3899994,170.3899994,19763800
PFE,2/28/22,45.27640951,46.81999969,47.16999817,46.34000015,46.93999863,35296100
PFE,3/1/22,45.15069209,46.68999863,47.13999939,45.43999863,45.75,29854500
PFE,3/2/22,44.58981934,46.11000061,47.93000031,46,47.70000076,36516200
PFE,3/3/22,46.10805661,47.68000031,48.59000015,47.47999954,47.83000183,30553300
PFE,3/4/22,45.93399017,47.5,48.77000046,47.40999985,48.65000153,33217300
PFE,3/7/22,46.65926558,48.25,48.84000015,47.52000046,47.97999954,33171300
PFE,3/8/22,46.0113526,47.58000183,48.41999817,46.47000122,47.43999863,32913300
PFE,3/9/22,46.54321811,48.13000107,49.22000122,48,48.75,24718900
PFE,3/10/22,46.7172921,48.31000137,49.29000092,48.04999924,49.20000076,24542300
PFE,3/11/22,47.51992061,49.13999939,50.90000153,48.93999863,50.27000046,33701900
PFE,3/14/22,49.0478401,50.72000122,52.90999985,50.38999939,52.25,42314500
PFE,3/15/22,50.88518738,52.61999893,52.91999817,51.18000031,52.20999908,30172100
PFE,3/16/22,50.80783132,52.54000092,53.27000046,52.18000031,52.91999817,29891400
PFE,3/17/22,51.17530489,52.91999817,54.25,52.79000092,54.24000168,30598600
PFE,3/18/22,52.58717156,54.38000107,55,53.70999908,54.50999832,51815000
PFE,3/21/22,52.45178546,54.24000168,55.29999924,53.90000153,54.18999863,34592500
PFE,3/22/22,52.41310381,54.20000076,54.31999969,52.5,53.04000092,32253600
PFE,3/23/22,51.27200582,53.02000046,53.5,52.15999985,52.18999863,29183700
PFE,3/24/22,50.80783127,52.54000092,52.84999847,52.29000092,52.59000015,25177500
